Pro_Code1,Pro_Code,Dis_Code1,Dis_Code,Vill_Code1,Vill_Code,Village_Code,Vill_Name,Village_Status,HH_Total,People_Total,Women_Total,Etnhics_Majority,Project,Road_Access,Name_HC,Facility_code,Km_HC,Name_DH,Km_DH,Name_PH,Km_PH,Avg_HH_Size,Poor_HH,Expost_Code,Village_Town,HEF_Members1,SHEF_Members,DH_catg,Mem_Year
15,15,2,1502,64,064,1502064,   ®û¾­ ¡òº¸¤Œº¾Áª¤,,18,120,98,2,3,,DH,26,12,,93,SK-PH,, 6.7 ,,377,, 120 ,100%,E. 51-100,2014
15,15,2,1502,66,066,1502066,   ®û¾­ º¾¥ò¤Œº¾À¡¸,,49,219,103,2,3,,DH,26,,,97,SK-PH,, 4.5 ,,378,, 219 ,100%,E. 51-100,2014
15,15,2,1502,67,067,1502067,   ®û¾­ ¥½Àªó,,35,201,62,2,3,,DH,26,,,190,SK-PH,, 5.7 ,,379,, 201 ,100%,F. 100+,2014
15,15,2,1502,68,068,1502068,   ®û¾­ ª½¸¾¤,,33,186,85,2,3,,DH,26,87,,83,SK-PH,, 5.6 ,,380,, 186 ,100%,E. 51-100,2014
15,15,2,1502,70,070,1502070,   ®û¾­ ¯½­º­,,18,138,53,2,3,,DH,26,,,93,SK-PH,, 7.7 ,,381,, 138 ,100%,E. 51-100,2014
15,15,2,1502,71,071,1502071,   ®û¾­ ìò¤,,21,232,126,2,3,,JL-HC,26a,25,,40,SK-PH,, 11.0 ,,382,, 232 ,100%,D. 21-50,2014
15,15,2,1502,72,072,1502072,   ®û¾­ ªñ¤¡¾©,,37,168,94,2,3,,JL-HC,26a,18,,48,SK-PH,, 4.5 ,,383,, 168 ,100%,D. 21-50,2014
15,15,2,1502,73,073,1502073,   ®û¾­ «ÕÀ©ñ¤,,40,219,131,2,3,,DH,26,18,,15,SK-PH,, 5.5 ,,384,, 219 ,100%,C. 11-20,2014
15,15,2,1502,75,075,1502075,   ®û¾­ µô®,,40,393,165,2,3,,DH,26,96,,58,SK-PH,, 9.8 ,,385,, 393 ,100%,E. 51-100,2014
15,15,2,1502,76,076,1502076, ®û¾­ ª¾­¾¤Œª¾¹ò©Œº¾§¸¤,,43,275,154,2,3,,DH,26,87,,75,SK-PH,, 6.4 ,,386,, 275 ,100%,E. 51-100,2014
15,15,2,1502,77,077,1502077,   ®û¾­ º¾¤¸©,,40,228,67,2,3,,DH,26,,,85,SK-PH,, 5.7 ,,387,, 228 ,100%,E. 51-100,2014
15,15,2,1502,80,080,1502080,   ®û¾­ ªñ¤¯ùò­,,55,372,191,2,3,,DH,26,,,65,SK-PH,, 6.8 ,,388,, 372 ,100%,E. 51-100,2014
15,15,2,1502,81,081,1502081,   ®É¾­ º¾ëº¡,,11,58,105,2,3,,DH,26,,,91,SK-PH,, 5.3 ,,389,, 58 ,100%,E. 51-100,2014
15,15,2,1502,82,082,1502082,   ®û¾­ ¥½À¡ó¨²øŒì½¡¾¨,,44,231,99,2,3,1,DH,26,8,,14,SK-PH,, 5.3 ,,390,, 231 ,100%,C. 11-20,2014
